building,name,addr:housenumber,addr:street,height,geometry,city
yes,,,,,"POLYGON ((-123.042219 49.310926, -123.04215 49.310926, -123.04215 49.310998, -123.041732 49.310991, -123.041729 49.310981, -123.041634 49.310982, -123.041634 49.310924, -123.041616 49.310924, -123.041623 49.310617, -123.041645 49.310616, -123.041648 49.310589, -123.041745 49.310592, -123.041744 49.31057, -123.042226 49.310572, -123.042219 49.310926))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.042717 49.310874, -123.042667 49.310873, -123.042666 49.31093, -123.042632 49.31093, -123.042631 49.310941, -123.042368 49.310939, -123.042369 49.310928, -123.042331 49.310928, -123.042333 49.310872, -123.042308 49.310871, -123.042315 49.310558, -123.042724 49.310562, -123.042717 49.310874))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044376 49.3112, -123.04438 49.310683, -123.044394 49.310682, -123.044394 49.310575, -123.044306 49.310573, -123.044301 49.310612, -123.044175 49.310609, -123.04417 49.31068, -123.04393 49.310677, -123.043927 49.311194, -123.044376 49.3112))","City of North Vancouver, British Columbia, Canada"
yes,,555,,,"POLYGON ((-123.043326 49.311136, -123.043228 49.311134, -123.043231 49.311179, -123.043325 49.31118, -123.04332 49.311192, -123.043363 49.311192, -123.04337 49.311257, -123.043389 49.311255, -123.04338 49.311604, -123.04291 49.311603, -123.042909 49.311252, -123.042974 49.311251, -123.042969 49.311188, -123.042996 49.311187, -123.042996 49.311158, -123.043028 49.311153, -123.043024 49.311122, -123.043157 49.311123, -123.043158 49.31107, -123.043028 49.311067, -123.043024 49.310999, -123.04299 49.311001, -123.042985 49.310969, -123.042955 49.310965, -123.042954 49.310929, -123.04292 49.310928, -123.042932 49.310485, -123.043395 49.310485, -123.043385 49.311014, -123.043364 49.311014, -123.043363 49.311062, -123.043326 49.31106, -123.043326 49.311136))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.040841 49.311629, -123.040848 49.311179, -123.04075 49.311177, -123.040755 49.311091, -123.040758 49.311032, -123.040761 49.310979, -123.0407 49.310978, -123.040699 49.31103, -123.040697 49.311091, -123.040694 49.311173, -123.040573 49.311177, -123.040568 49.31119, -123.040541 49.311188, -123.040544 49.31139, -123.04058 49.311388, -123.040572 49.311408, -123.040546 49.311416, -123.040549 49.311594, -123.040567 49.311593, -123.040565 49.311625, -123.040679 49.311623, -123.040684 49.311645, -123.040728 49.311644, -123.040732 49.311626, -123.040841 49.311629))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.040863 49.310973, -123.040571 49.310973, -123.040575 49.310517, -123.040725 49.310522, -123.040732 49.31049, -123.040776 49.310493, -123.040778 49.310523, -123.040875 49.310527, -123.040863 49.310973))","City of North Vancouver, British Columbia, Canada"
office,,1225,East Keith Road,,"POLYGON ((-123.040081 49.312636, -123.040092 49.312349, -123.039194 49.312334, -123.03919 49.312285, -123.038909 49.31228, -123.038905 49.31239, -123.038796 49.312387, -123.0388 49.312218, -123.038744 49.312177, -123.038496 49.312176, -123.038478 49.312742, -123.038527 49.312741, -123.038526 49.312915, -123.038919 49.31292, -123.038923 49.312896, -123.03974 49.312906, -123.039732 49.312744, -123.039782 49.312744, -123.039788 49.312632, -123.040081 49.312636))","City of North Vancouver, British Columbia, Canada"
office,,630,Brooksbank Avenue,,"POLYGON ((-123.040068 49.311937, -123.040032 49.311936, -123.040035 49.311775, -123.039259 49.311769, -123.039252 49.311986, -123.04007 49.311994, -123.040068 49.311937))","City of North Vancouver, British Columbia, Canada"
yes,,500,Brooksbank Avenue,,"POLYGON ((-123.040109 49.310751, -123.040114 49.310431, -123.03876 49.310422, -123.03854 49.310706, -123.038543 49.310727, -123.03856 49.310738, -123.038586 49.310742, -123.040109 49.310751))","City of North Vancouver, British Columbia, Canada"
yes,,1112,3rd Street East,,"POLYGON ((-123.046239 49.308598, -123.046237 49.308696, -123.046092 49.308694, -123.046089 49.308777, -123.045991 49.308776, -123.045989 49.308853, -123.045881 49.308852, -123.045879 49.308938, -123.045789 49.308937, -123.045786 49.309024, -123.045708 49.309023, -123.045703 49.309206, -123.046585 49.309215, -123.046586 49.309173, -123.04663 49.309173, -123.046644 49.308602, -123.046239 49.308598))","City of North Vancouver, British Columbia, Canada"
yes,Rona,1160,3rd Street East,,"POLYGON ((-123.045383 49.309115, -123.045168 49.309115, -123.045169 49.309, -123.044046 49.308988, -123.044059 49.308553, -123.044079 49.308554, -123.044084 49.308483, -123.044372 49.308491, -123.044372 49.308524, -123.045392 49.308533, -123.045383 49.309115))","City of North Vancouver, British Columbia, Canada"
yes,,600,Brooksbank Avenue,,"POLYGON ((-123.03862 49.311229, -123.038554 49.311228, -123.038552 49.311274, -123.038568 49.311275, -123.038557 49.311524, -123.039929 49.311536, -123.039936 49.311342, -123.039952 49.311343, -123.039953 49.311247, -123.039804 49.311245, -123.039805 49.311254, -123.039352 49.311247, -123.039351 49.311237, -123.039276 49.311237, -123.039276 49.311246, -123.038622 49.311237, -123.03862 49.311229))","City of North Vancouver, British Columbia, Canada"
yes,,440,Brooksbank Avenue,,"POLYGON ((-123.04022 49.310147, -123.040222 49.309991, -123.040097 49.309988, -123.040102 49.309871, -123.039194 49.309861, -123.039183 49.309992, -123.03916 49.309991, -123.039155 49.310132, -123.04022 49.310147))","City of North Vancouver, British Columbia, Canada"
yes,,400,Brooksbank Avenue,,"POLYGON ((-123.040328 49.309762, -123.039965 49.309759, -123.039966 49.309708, -123.039359 49.309699, -123.039448 49.309508, -123.039464 49.309485, -123.039496 49.309468, -123.039535 49.309463, -123.039987 49.309472, -123.039987 49.309386, -123.040333 49.309387, -123.040328 49.309762))","City of North Vancouver, British Columbia, Canada"
yes,,340,Brooksbank Avenue,,"POLYGON ((-123.040115 49.30909, -123.040114 49.309185, -123.039833 49.309181, -123.039832 49.309122, -123.039797 49.309123, -123.039792 49.309131, -123.03968 49.309131, -123.039679 49.30908, -123.039466 49.309081, -123.039465 49.309054, -123.03941 49.309054, -123.039406 49.309081, -123.039302 49.309077, -123.039306 49.308858, -123.03985 49.308864, -123.039851 49.308896, -123.040102 49.308897, -123.040098 49.309088, -123.040115 49.30909))","City of North Vancouver, British Columbia, Canada"
yes,,200-333,Brooksbank Avenue,,"POLYGON ((-123.042135 49.308465, -123.042221 49.308324, -123.042174 49.30831, -123.042425 49.307925, -123.04176 49.307735, -123.041536 49.30807, -123.041462 49.308054, -123.041432 49.308103, -123.041326 49.308077, -123.041198 49.308076, -123.041199 49.308136, -123.041171 49.308138, -123.041174 49.308253, -123.041354 49.308254, -123.042135 49.308465))","City of North Vancouver, British Columbia, Canada"
commercial,,333,Brooksbank Avenue,,"POLYGON ((-123.04235 49.308635, -123.042336 49.309008, -123.042378 49.309006, -123.042377 49.309199, -123.042315 49.309204, -123.042308 49.309519, -123.042304 49.309786, -123.042295 49.310004, -123.042176 49.310071, -123.041132 49.310055, -123.041122 49.310259, -123.04251 49.310274, -123.042616 49.310215, -123.042617 49.309891, -123.042706 49.309893, -123.042709 49.309778, -123.043242 49.309778, -123.043249 49.309623, -123.043293 49.309619, -123.043295 49.309495, -123.043358 49.309495, -123.043365 49.309244, -123.043474 49.309247, -123.043478 49.309011, -123.042616 49.308991, -123.04262 49.308688, -123.04258 49.308689, -123.04258 49.308669, -123.042542 49.308669, -123.042529 49.308637, -123.04235 49.308635))","City of North Vancouver, British Columbia, Canada"
yes,White Spot,,,,"POLYGON ((-123.041074 49.307921, -123.04096 49.30792, -123.04096 49.307937, -123.040833 49.307935, -123.040834 49.307917, -123.040718 49.307916, -123.040724 49.307694, -123.04108 49.307698, -123.041074 49.307921))","City of North Vancouver, British Columbia, Canada"
yes,,333,Brooksbank Avenue,,"POLYGON ((-123.040851 49.308675, -123.040852 49.308393, -123.040621 49.308393, -123.04062 49.308674, -123.040851 49.308675))","City of North Vancouver, British Columbia, Canada"
yes,,333,Brooksbank Avenue,,"POLYGON ((-123.040834 49.309688, -123.040843 49.309377, -123.040604 49.309374, -123.040595 49.309685, -123.040834 49.309688))","City of North Vancouver, British Columbia, Canada"
yes,,310,Brooksbank Avenue,,"POLYGON ((-123.040128 49.308385, -123.040128 49.308553, -123.039714 49.308551, -123.039717 49.308385, -123.040128 49.308385))","City of North Vancouver, British Columbia, Canada"
