building,name,addr:housenumber,addr:street,height,geometry,city
yes,,,,,"POLYGON ((-123.055306 49.31814, -123.055217 49.31814, -123.055218 49.318202, -123.055307 49.318201, -123.055306 49.31814))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055837 49.318312, -123.055721 49.318312, -123.05572 49.318385, -123.055837 49.318386, -123.055837 49.318312))","City of North Vancouver, British Columbia, Canada"
yes,,1148,Grand Boulevard East,,"POLYGON ((-123.056144 49.318415, -123.055996 49.318414, -123.055994 49.31849, -123.056004 49.31849, -123.056004 49.318527, -123.056175 49.318528, -123.056176 49.318479, -123.05615 49.318479, -123.056151 49.318454, -123.056158 49.318449, -123.056157 49.318424, -123.056144 49.318415))","City of North Vancouver, British Columbia, Canada"
yes,,1160,East 12th Street,,"POLYGON ((-123.055927 49.318662, -123.056051 49.318664, -123.056051 49.318652, -123.056167 49.318653, -123.056164 49.318557, -123.056065 49.318555, -123.056065 49.318545, -123.055925 49.318545, -123.055927 49.318662))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055896 49.318016, -123.055896 49.317976, -123.055837 49.317976, -123.055837 49.317973, -123.055729 49.317972, -123.055728 49.318051, -123.055838 49.318052, -123.055838 49.318016, -123.055896 49.318016))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055606 49.318358, -123.055602 49.318278, -123.055435 49.318282, -123.055438 49.318361, -123.055606 49.318358))","City of North Vancouver, British Columbia, Canada"
yes,,624,East 11th Street,,"POLYGON ((-123.055401 49.318002, -123.055404 49.317892, -123.055329 49.317891, -123.055329 49.317907, -123.055229 49.317906, -123.055226 49.318023, -123.055319 49.318024, -123.05532 49.318001, -123.055401 49.318002))","City of North Vancouver, British Columbia, Canada"
yes,,1109,Sutherland Avenue,,"POLYGON ((-123.055015 49.318065, -123.055019 49.317893, -123.054957 49.317892, -123.054956 49.317906, -123.0549 49.317905, -123.054896 49.318064, -123.055015 49.318065))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055908 49.31817, -123.055908 49.318112, -123.055731 49.318112, -123.055731 49.318215, -123.055849 49.318215, -123.055849 49.31817, -123.055908 49.31817))","City of North Vancouver, British Columbia, Canada"
yes,,1116,Grand Boulevard East,,"POLYGON ((-123.056018 49.318004, -123.055952 49.318004, -123.055952 49.318061, -123.05597 49.318061, -123.05597 49.318102, -123.056169 49.318102, -123.056169 49.318066, -123.056206 49.318066, -123.056207 49.318019, -123.056172 49.318019, -123.056172 49.317975, -123.056018 49.317975, -123.056018 49.318004))","City of North Vancouver, British Columbia, Canada"
yes,,1136,Grand Boulevard East,,"POLYGON ((-123.055934 49.31813, -123.055933 49.318259, -123.056166 49.31826, -123.056166 49.318244, -123.056213 49.318244, -123.056214 49.318161, -123.056172 49.318161, -123.056172 49.318131, -123.055934 49.31813))","City of North Vancouver, British Columbia, Canada"
yes,,1138,Grand Boulevard East,,"POLYGON ((-123.055947 49.318289, -123.055945 49.318386, -123.056197 49.318388, -123.056199 49.318292, -123.055947 49.318289))","City of North Vancouver, British Columbia, Canada"
yes,,629,East 12th Street,,"POLYGON ((-123.05518 49.318532, -123.055181 49.318464, -123.055125 49.318464, -123.055126 49.318348, -123.055054 49.318348, -123.055052 49.318588, -123.055158 49.318589, -123.055159 49.318532, -123.05518 49.318532))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055407 49.318284, -123.055408 49.318346, -123.055351 49.318347, -123.05535 49.318284, -123.055407 49.318284))","City of North Vancouver, British Columbia, Canada"
yes,,630,East 12th Street,,"POLYGON ((-123.054887 49.319008, -123.054884 49.319147, -123.054775 49.319146, -123.054779 49.319007, -123.054887 49.319008))","City of North Vancouver, British Columbia, Canada"
yes,,1204,East 12th Street,,"POLYGON ((-123.055896 49.318938, -123.055845 49.318936, -123.05585 49.318873, -123.055896 49.318872, -123.055896 49.318851, -123.056033 49.318851, -123.056034 49.318983, -123.055901 49.318982, -123.055896 49.318938))","City of North Vancouver, British Columbia, Canada"
yes,,628,East 12th Street,,"POLYGON ((-123.055072 49.319065, -123.055071 49.31892, -123.054928 49.31892, -123.054929 49.319066, -123.055072 49.319065))","City of North Vancouver, British Columbia, Canada"
yes,,619,East 13th Street,,"POLYGON ((-123.055321 49.319528, -123.055318 49.319628, -123.055486 49.319631, -123.055489 49.319556, -123.055398 49.319555, -123.055399 49.31953, -123.055321 49.319528))","City of North Vancouver, British Columbia, Canada"
yes,,625,East 13th Street,,"POLYGON ((-123.055276 49.31951, -123.055279 49.319625, -123.055175 49.319623, -123.055175 49.319637, -123.055097 49.319636, -123.055102 49.319534, -123.055215 49.319536, -123.055215 49.319512, -123.055276 49.31951))","City of North Vancouver, British Columbia, Canada"
yes,,1236,Grand Boulevard East,,"POLYGON ((-123.056028 49.319277, -123.055934 49.319277, -123.055931 49.319309, -123.055818 49.319307, -123.055821 49.319401, -123.055958 49.319405, -123.055958 49.319389, -123.056025 49.319389, -123.056028 49.319277))","City of North Vancouver, British Columbia, Canada"
yes,,1224,Grand Boulevard East,,"POLYGON ((-123.056055 49.319138, -123.055884 49.319142, -123.055889 49.319254, -123.056023 49.319251, -123.05602 49.319198, -123.056058 49.319197, -123.056055 49.319138))","City of North Vancouver, British Columbia, Canada"
yes,,1216,Grand Boulevard East,,"POLYGON ((-123.05602 49.319113, -123.05602 49.319074, -123.05603 49.319067, -123.056028 49.318999, -123.055904 49.318997, -123.055904 49.319015, -123.055853 49.319015, -123.055853 49.319095, -123.055904 49.319094, -123.055904 49.319112, -123.05602 49.319113))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055314 49.319352, -123.055314 49.319298, -123.055192 49.319298, -123.055192 49.319352, -123.055314 49.319352))","City of North Vancouver, British Columbia, Canada"
yes,,1244,Grand Boulevard East,,"POLYGON ((-123.056029 49.319422, -123.055818 49.319421, -123.055818 49.319546, -123.056003 49.319546, -123.056006 49.319513, -123.056028 49.319513, -123.056029 49.319422))","City of North Vancouver, British Columbia, Canada"
yes,,1256,East 13th Street,,"POLYGON ((-123.056058 49.31957, -123.055768 49.319572, -123.055769 49.319673, -123.056059 49.319672, -123.056058 49.31957))","City of North Vancouver, British Columbia, Canada"
yes,North Shore Christian Centre,1400,Sutherland Avenue,,"POLYGON ((-123.054402 49.320844, -123.054192 49.320842, -123.054202 49.320887, -123.053934 49.320885, -123.053934 49.321035, -123.054361 49.321039, -123.054358 49.321016, -123.054387 49.321012, -123.054393 49.321, -123.054388 49.32097, -123.054402 49.32097, -123.054397 49.320915, -123.054411 49.320907, -123.054402 49.320844))","City of North Vancouver, British Columbia, Canada"
yes,,1253,Sutherland Avenue,,"POLYGON ((-123.054896 49.319436, -123.054904 49.319613, -123.054799 49.319615, -123.054796 49.319553, -123.054772 49.319554, -123.054768 49.319465, -123.054833 49.319464, -123.054832 49.319437, -123.054896 49.319436))","City of North Vancouver, British Columbia, Canada"
yes,,632,Sutherland Avenue,,"POLYGON ((-123.05491 49.319944, -123.054757 49.319944, -123.054756 49.320042, -123.054769 49.320042, -123.054768 49.320107, -123.054909 49.320107, -123.05491 49.319944))","City of North Vancouver, British Columbia, Canada"
yes,,1336,Grand Boulevard East,,"POLYGON ((-123.056097 49.320382, -123.05607 49.320382, -123.05607 49.320331, -123.055944 49.320333, -123.055947 49.320452, -123.056119 49.320452, -123.056116 49.320401, -123.056095 49.320401, -123.056097 49.320382))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055091 49.319366, -123.055092 49.319291, -123.054959 49.31929, -123.054958 49.319366, -123.055091 49.319366))","City of North Vancouver, British Columbia, Canada"
yes,,618,East 13th Street,,"POLYGON ((-123.05529 49.319947, -123.05529 49.320095, -123.055429 49.320097, -123.055429 49.320078, -123.055475 49.320078, -123.055472 49.31999, -123.055424 49.31999, -123.055421 49.319948, -123.05529 49.319947))","City of North Vancouver, British Columbia, Canada"
yes,,1324,Grand Boulevard East,,"POLYGON ((-123.056097 49.320193, -123.055868 49.320191, -123.055867 49.320228, -123.055891 49.320228, -123.055889 49.320306, -123.056094 49.320309, -123.056097 49.320193))","City of North Vancouver, British Columbia, Canada"
yes,,1316,Grand Boulevard East,,"POLYGON ((-123.056134 49.320046, -123.055907 49.320046, -123.055897 49.320097, -123.055964 49.320099, -123.055963 49.320172, -123.056132 49.320172, -123.056134 49.320046))","City of North Vancouver, British Columbia, Canada"
yes,,624,East 13th Street,,"POLYGON ((-123.055252 49.320068, -123.055255 49.319956, -123.055081 49.319952, -123.055078 49.320071, -123.055132 49.320069, -123.055132 49.320104, -123.055199 49.320104, -123.055199 49.320068, -123.055252 49.320068))","City of North Vancouver, British Columbia, Canada"
yes,,620,East 14th Street,,"POLYGON ((-123.055268 49.320994, -123.055271 49.321139, -123.055446 49.321139, -123.055446 49.321006, -123.055424 49.321005, -123.055424 49.320982, -123.055333 49.320984, -123.055334 49.320994, -123.055268 49.320994))","City of North Vancouver, British Columbia, Canada"
yes,,1418,Grand Boulevard East,,"POLYGON ((-123.055885 49.321155, -123.055883 49.321185, -123.055867 49.321195, -123.055859 49.321332, -123.055899 49.321326, -123.055912 49.321342, -123.05599 49.321335, -123.055993 49.32131, -123.056028 49.321309, -123.056028 49.321262, -123.055993 49.32126, -123.055993 49.321183, -123.055955 49.321167, -123.055952 49.321155, -123.055885 49.321155))","City of North Vancouver, British Columbia, Canada"
yes,,625,East 15th Street,,"POLYGON ((-123.055263 49.321592, -123.055263 49.321702, -123.055438 49.321704, -123.055438 49.321622, -123.055346 49.321622, -123.055346 49.321594, -123.055263 49.321592))","City of North Vancouver, British Columbia, Canada"
yes,,1343,East 14th Street,,"POLYGON ((-123.054901 49.32047, -123.054898 49.320667, -123.05477 49.320662, -123.05477 49.320632, -123.054754 49.320632, -123.054751 49.320504, -123.054775 49.320503, -123.054775 49.320464, -123.054901 49.32047))","City of North Vancouver, British Columbia, Canada"
yes,,1410,East 14th Street,,"POLYGON ((-123.055789 49.321017, -123.055792 49.321106, -123.055966 49.321104, -123.055963 49.321027, -123.055995 49.321026, -123.055995 49.320961, -123.055762 49.320961, -123.055766 49.321016, -123.055789 49.321017))","City of North Vancouver, British Columbia, Canada"
yes,,629,East 15th Street,,"POLYGON ((-123.055236 49.32162, -123.05515 49.321622, -123.05515 49.321596, -123.055065 49.321597, -123.055065 49.3217, -123.055234 49.3217, -123.055236 49.32162))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.054992 49.321445, -123.054991 49.321385, -123.054894 49.321386, -123.054896 49.321447, -123.054992 49.321445))","City of North Vancouver, British Columbia, Canada"
yes,,1352,Grand Boulevard East,,"POLYGON ((-123.056097 49.320628, -123.055942 49.320627, -123.055939 49.320651, -123.05587 49.32065, -123.055864 49.320726, -123.056098 49.320729, -123.056097 49.320628))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055276 49.321246, -123.055276 49.321318, -123.055394 49.321318, -123.055394 49.321246, -123.055276 49.321246))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.054898 49.320403, -123.054898 49.320338, -123.05478 49.32034, -123.05478 49.320405, -123.054898 49.320403))","City of North Vancouver, British Columbia, Canada"
yes,,1338,Grand Boulevard East,,"POLYGON ((-123.056095 49.320484, -123.055936 49.320484, -123.055936 49.320599, -123.056095 49.320599, -123.056095 49.320484))","City of North Vancouver, British Columbia, Canada"
yes,,621,East 14th Street,,"POLYGON ((-123.055485 49.320654, -123.055486 49.32052, -123.055296 49.320519, -123.055295 49.320654, -123.055485 49.320654))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055798 49.320317, -123.055803 49.320231, -123.055698 49.320231, -123.055688 49.320316, -123.055798 49.320317))","City of North Vancouver, British Columbia, Canada"
yes,,1312,Grand Boulevard East,,"POLYGON ((-123.056001 49.320024, -123.055995 49.319908, -123.055724 49.319907, -123.055722 49.319976, -123.055757 49.319976, -123.055757 49.32002, -123.056001 49.320024))","City of North Vancouver, British Columbia, Canada"
yes,,1436,Grand Boulevard East,,"POLYGON ((-123.055939 49.321398, -123.055936 49.321375, -123.055859 49.321377, -123.055859 49.321365, -123.055816 49.321365, -123.055808 49.321515, -123.055926 49.321515, -123.055928 49.321477, -123.05596 49.32148, -123.055963 49.321398, -123.055939 49.321398))","City of North Vancouver, British Columbia, Canada"
yes,,626,East 13th Street,,"POLYGON ((-123.054957 49.319945, -123.054957 49.319961, -123.054939 49.319961, -123.054933 49.320074, -123.05496 49.320076, -123.054968 49.320132, -123.055075 49.320136, -123.055079 49.319945, -123.054957 49.319945))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055021 49.320401, -123.055021 49.320341, -123.054924 49.320341, -123.054925 49.320402, -123.055021 49.320401))","City of North Vancouver, British Columbia, Canada"
yes,,625,East 14th Street,,"POLYGON ((-123.055229 49.32051, -123.055226 49.320599, -123.055247 49.320599, -123.055247 49.320658, -123.055196 49.320657, -123.055193 49.320672, -123.055102 49.320671, -123.055102 49.320651, -123.055075 49.320648, -123.055073 49.320564, -123.055108 49.320562, -123.055111 49.320512, -123.055229 49.32051))","City of North Vancouver, British Columbia, Canada"
yes,,629,East 14th Street,,"POLYGON ((-123.055052 49.320552, -123.054911 49.320551, -123.05491 49.32066, -123.055051 49.32066, -123.055052 49.320552))","City of North Vancouver, British Columbia, Canada"
yes,,1436,Sutherland Avenue,,"POLYGON ((-123.054212 49.321286, -123.054212 49.321251, -123.054351 49.321248, -123.054346 49.321375, -123.054212 49.321372, -123.054214 49.321344, -123.054191 49.321343, -123.054191 49.321286, -123.054212 49.321286))","City of North Vancouver, British Columbia, Canada"
yes,,705,East 15th Street,,"POLYGON ((-123.054367 49.32162, -123.054365 49.321727, -123.054237 49.321724, -123.054241 49.3217, -123.054206 49.3217, -123.054205 49.321692, -123.054156 49.321693, -123.054156 49.321632, -123.05422 49.32163, -123.05422 49.321615, -123.054271 49.321613, -123.054271 49.321599, -123.054314 49.321599, -123.054314 49.32162, -123.054367 49.32162))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055726 49.321675, -123.055726 49.321588, -123.055629 49.321588, -123.055629 49.321675, -123.055726 49.321675))","City of North Vancouver, British Columbia, Canada"
yes,,1488,East 15th Street,,"POLYGON ((-123.055793 49.321668, -123.055792 49.321711, -123.05577 49.321711, -123.055768 49.321761, -123.055915 49.321763, -123.055914 49.321779, -123.056049 49.321781, -123.056053 49.321672, -123.055793 49.321668))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.054884 49.321565, -123.054884 49.321722, -123.05475 49.321721, -123.054747 49.321591, -123.054776 49.32159, -123.054776 49.321565, -123.054884 49.321565))","City of North Vancouver, British Columbia, Canada"
yes,,628,East 14th Street,,"POLYGON ((-123.055085 49.321118, -123.055085 49.320963, -123.054945 49.320963, -123.054945 49.321118, -123.055085 49.321118))","City of North Vancouver, British Columbia, Canada"
yes,,1425,Sutherland Avenue,,"POLYGON ((-123.054921 49.321179, -123.05492 49.32099, -123.054866 49.320991, -123.054866 49.320982, -123.054802 49.320982, -123.054803 49.320989, -123.054754 49.320992, -123.054759 49.321178, -123.054921 49.321179))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055127 49.32125, -123.055129 49.321316, -123.055256 49.321315, -123.055254 49.321248, -123.055127 49.32125))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.054925 49.321248, -123.054925 49.32131, -123.054754 49.32131, -123.054754 49.321248, -123.054925 49.321248))","City of North Vancouver, British Columbia, Canada"
yes,,1456,Grand Boulevard East,,"POLYGON ((-123.05604 49.321655, -123.056046 49.321534, -123.055829 49.321534, -123.055831 49.321576, -123.055815 49.321576, -123.055815 49.321653, -123.05604 49.321655))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.05508 49.321248, -123.05508 49.321314, -123.054953 49.321314, -123.054953 49.321248, -123.05508 49.321248))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055723 49.321771, -123.05572 49.321688, -123.055627 49.321689, -123.05563 49.321772, -123.055723 49.321771))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.054049 49.321245, -123.05405 49.321199, -123.053936 49.321198, -123.053935 49.321244, -123.054049 49.321245))","City of North Vancouver, British Columbia, Canada"
yes,,1448,Sutherland Avenue,,"POLYGON ((-123.054338 49.321407, -123.054096 49.32141, -123.054098 49.321482, -123.054343 49.321485, -123.054338 49.321407))","City of North Vancouver, British Columbia, Canada"
yes,,1428,Sutherland Avenue,,"POLYGON ((-123.054354 49.321206, -123.054355 49.32117, -123.054065 49.321168, -123.054064 49.321236, -123.054296 49.321238, -123.054296 49.321205, -123.054354 49.321206))","City of North Vancouver, British Columbia, Canada"
yes,,1422,Sutherland Avenue,,"POLYGON ((-123.054357 49.32112, -123.054358 49.321086, -123.054067 49.321083, -123.054065 49.321158, -123.054307 49.32116, -123.054308 49.32112, -123.054357 49.32112))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.054354 49.321533, -123.054354 49.321498, -123.054253 49.321498, -123.054254 49.321533, -123.054354 49.321533))","City of North Vancouver, British Columbia, Canada"
yes,,633,East 15th Street,,"POLYGON ((-123.05505 49.321598, -123.055047 49.321719, -123.054956 49.321719, -123.054956 49.321703, -123.0549 49.321701, -123.0549 49.321595, -123.054921 49.321595, -123.054919 49.321565, -123.055018 49.321563, -123.055015 49.321596, -123.05505 49.321598))","City of North Vancouver, British Columbia, Canada"
yes,,624,East 14th Street,,"POLYGON ((-123.055246 49.32111, -123.055242 49.320982, -123.055102 49.320984, -123.055106 49.321112, -123.055246 49.32111))","City of North Vancouver, British Columbia, Canada"
yes,,711,East 15th Street,,"POLYGON ((-123.054061 49.321709, -123.054061 49.321603, -123.053866 49.321602, -123.053865 49.321708, -123.054061 49.321709))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.054027 49.321162, -123.054025 49.321103, -123.053924 49.321104, -123.053926 49.321164, -123.054027 49.321162))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055322 49.319157, -123.055322 49.319226, -123.055464 49.319226, -123.055462 49.319158, -123.055322 49.319157))","City of North Vancouver, British Columbia, Canada"
yes,,618,East 12th Street,,"POLYGON ((-123.055476 49.31904, -123.055316 49.31904, -123.055316 49.318985, -123.055337 49.318985, -123.055337 49.31892, -123.055476 49.31892, -123.055476 49.31904))","City of North Vancouver, British Columbia, Canada"
yes,,622,East 12th Street,,"POLYGON ((-123.055294 49.318902, -123.055296 49.319011, -123.055117 49.319012, -123.055114 49.318904, -123.055294 49.318902))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055303 49.319221, -123.055303 49.319181, -123.055201 49.319179, -123.055201 49.319165, -123.055183 49.319165, -123.05518 49.31915, -123.055121 49.319148, -123.055118 49.319218, -123.055303 49.319221))","City of North Vancouver, British Columbia, Canada"
yes,,629,East 13th Street,,"POLYGON ((-123.055068 49.319513, -123.055068 49.319634, -123.054986 49.319634, -123.054986 49.319626, -123.05493 49.319626, -123.05493 49.319513, -123.055068 49.319513))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.055455 49.32041, -123.055456 49.320329, -123.05537 49.320329, -123.055368 49.32041, -123.055455 49.32041))","City of North Vancouver, British Columbia, Canada"
yes,,1457,Williams Avenue,,"POLYGON ((-123.051194 49.321616, -123.050977 49.321615, -123.050979 49.321532, -123.051196 49.321534, -123.051194 49.321616))","City of North Vancouver, British Columbia, Canada"
yes,,1431,Williams Avenue,,"POLYGON ((-123.051119 49.321307, -123.051116 49.321231, -123.050935 49.321232, -123.050936 49.321307, -123.051119 49.321307))","City of North Vancouver, British Columbia, Canada"
yes,,1439,Williams Avenue,,"POLYGON ((-123.051142 49.321514, -123.050986 49.321516, -123.050982 49.321432, -123.051142 49.321434, -123.051142 49.321514))","City of North Vancouver, British Columbia, Canada"
yes,,1437,Williams Avenue,,"POLYGON ((-123.051125 49.321335, -123.051128 49.321414, -123.050938 49.321413, -123.050936 49.321334, -123.051125 49.321335))","City of North Vancouver, British Columbia, Canada"
yes,,1425,Williams Avenue,,"POLYGON ((-123.051174 49.32109, -123.051172 49.321006, -123.050916 49.321008, -123.050918 49.321061, -123.051003 49.32106, -123.051004 49.321092, -123.051174 49.32109))","City of North Vancouver, British Columbia, Canada"
yes,,1429,Williams Avenue,,"POLYGON ((-123.051172 49.321196, -123.051174 49.321114, -123.050985 49.321113, -123.050983 49.321195, -123.051172 49.321196))","City of North Vancouver, British Columbia, Canada"
yes,,1403,Williams Avenue,,"POLYGON ((-123.051106 49.32087, -123.051105 49.320798, -123.051072 49.320797, -123.051072 49.320785, -123.050966 49.320786, -123.050968 49.320871, -123.051106 49.32087))","City of North Vancouver, British Columbia, Canada"
yes,,785,Williams Avenue,,"POLYGON ((-123.05119 49.321719, -123.051189 49.321655, -123.050973 49.321658, -123.050975 49.321721, -123.05119 49.321719))","City of North Vancouver, British Columbia, Canada"
yes,,1409,Williams Avenue,,"POLYGON ((-123.051237 49.320976, -123.051233 49.320895, -123.050961 49.3209, -123.050965 49.320981, -123.051237 49.320976))","City of North Vancouver, British Columbia, Canada"
yes,,529,East 20th Street,,"POLYGON ((-123.058715 49.326911, -123.05857 49.326909, -123.058574 49.326785, -123.058718 49.326787, -123.058715 49.326911))","City of North Vancouver, British Columbia, Canada"
yes,,539,East 20th Street,,"POLYGON ((-123.058295 49.326917, -123.058305 49.326797, -123.058243 49.326794, -123.058245 49.32677, -123.05819 49.326768, -123.058188 49.326787, -123.058132 49.326785, -123.058122 49.326854, -123.058141 49.326911, -123.058176 49.326912, -123.058176 49.326906, -123.058253 49.32691, -123.058254 49.326915, -123.058295 49.326917))","City of North Vancouver, British Columbia, Canada"
yes,,515,East 20th Street,,"POLYGON ((-123.059162 49.326916, -123.059168 49.326781, -123.0593 49.326782, -123.059302 49.32677, -123.05938 49.326775, -123.05938 49.326837, -123.059438 49.32684, -123.059433 49.32692, -123.05937 49.326919, -123.059372 49.32694, -123.059229 49.326938, -123.059228 49.326918, -123.059162 49.326916))","City of North Vancouver, British Columbia, Canada"
yes,,509,Moody Avenue,,"POLYGON ((-123.059469 49.326941, -123.05947 49.326765, -123.059575 49.326765, -123.059574 49.326941, -123.059469 49.326941))","City of North Vancouver, British Columbia, Canada"
yes,,1947,Queensbury Avenue,,"POLYGON ((-123.057837 49.326938, -123.057839 49.326896, -123.057879 49.326897, -123.057884 49.326805, -123.057736 49.326801, -123.057728 49.326935, -123.057837 49.326938))","City of North Vancouver, British Columbia, Canada"
yes,,543,East 20th Street,,"POLYGON ((-123.058088 49.326929, -123.057901 49.326928, -123.057902 49.326795, -123.05809 49.326796, -123.058088 49.326929))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.05809 49.326722, -123.057964 49.326721, -123.057966 49.326657, -123.058091 49.326659, -123.05809 49.326722))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.0583 49.326731, -123.058172 49.326727, -123.058177 49.326668, -123.058305 49.326672, -123.0583 49.326731))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059266 49.326753, -123.059268 49.326727, -123.059292 49.326728, -123.059295 49.326682, -123.059181 49.32668, -123.059177 49.326751, -123.059266 49.326753))","City of North Vancouver, British Columbia, Canada"
yes,,1950,Moody Avenue,,"POLYGON ((-123.059748 49.326918, -123.059752 49.326766, -123.05961 49.326764, -123.059606 49.326916, -123.059748 49.326918))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.058074 49.326757, -123.058034 49.326756, -123.058034 49.326734, -123.058074 49.326735, -123.058074 49.326757))","City of North Vancouver, British Columbia, Canada"
yes,,533,East 20th Street,,"POLYGON ((-123.058492 49.326928, -123.058493 49.326799, -123.058373 49.326799, -123.058373 49.326928, -123.058492 49.326928))","City of North Vancouver, British Columbia, Canada"
yes,,521,East 20th Street,,"POLYGON ((-123.058949 49.326918, -123.058955 49.326796, -123.059054 49.326797, -123.059054 49.326809, -123.059142 49.32681, -123.059139 49.326912, -123.059059 49.326912, -123.059059 49.326919, -123.058949 49.326918))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059041 49.326728, -123.059041 49.326674, -123.059148 49.326675, -123.059148 49.326728, -123.059041 49.326728))","City of North Vancouver, British Columbia, Canada"
yes,,525,East 20th Street,,"POLYGON ((-123.058745 49.32692, -123.058744 49.3268, -123.058923 49.326799, -123.058924 49.326919, -123.058745 49.32692))","City of North Vancouver, British Columbia, Canada"
yes,,619,East 18th Street,,"POLYGON ((-123.055461 49.324858, -123.05546 49.324739, -123.055278 49.32474, -123.055279 49.324819, -123.055352 49.324819, -123.055353 49.324858, -123.055461 49.324858))","City of North Vancouver, British Columbia, Canada"
yes,,752,East 14th Street,,"POLYGON ((-123.052485 49.321008, -123.052482 49.320851, -123.052329 49.320855, -123.052337 49.321036, -123.052404 49.321036, -123.052402 49.321008, -123.052485 49.321008))","City of North Vancouver, British Columbia, Canada"
yes,,770,East 14th Street,,"POLYGON ((-123.051655 49.320922, -123.051654 49.320875, -123.051627 49.320875, -123.051627 49.320849, -123.051554 49.32085, -123.051554 49.320837, -123.051512 49.320838, -123.051512 49.320854, -123.051461 49.320854, -123.051462 49.32093, -123.051626 49.320929, -123.051626 49.320922, -123.051655 49.320922))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.052468 49.321173, -123.052469 49.321238, -123.052335 49.321239, -123.052334 49.321174, -123.052468 49.321173))","City of North Vancouver, British Columbia, Canada"
yes,,736,East 14th Street,,"POLYGON ((-123.053151 49.321042, -123.053144 49.320883, -123.053059 49.320883, -123.053059 49.320898, -123.053013 49.320898, -123.053013 49.321044, -123.053151 49.321042))","City of North Vancouver, British Columbia, Canada"
yes,,742,East 14th Street,,"POLYGON ((-123.052821 49.321016, -123.052818 49.320866, -123.052674 49.320868, -123.05268 49.321041, -123.052741 49.321041, -123.052742 49.321017, -123.052821 49.321016))","City of North Vancouver, British Columbia, Canada"
yes,,768,East 14th Street,,"POLYGON ((-123.051865 49.320855, -123.051865 49.320965, -123.051704 49.320965, -123.051702 49.320855, -123.05175 49.320853, -123.05175 49.320834, -123.051798 49.320834, -123.051801 49.320853, -123.051865 49.320855))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.053161 49.321174, -123.053161 49.321245, -123.05305 49.321245, -123.05305 49.321174, -123.053161 49.321174))","City of North Vancouver, British Columbia, Canada"
yes,,732,East 14th Street,,"POLYGON ((-123.053352 49.320967, -123.05335 49.320853, -123.053168 49.320854, -123.053169 49.320968, -123.053352 49.320967))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.052967 49.321173, -123.052861 49.321172, -123.05286 49.321241, -123.052966 49.321242, -123.052967 49.321173))","City of North Vancouver, British Columbia, Canada"
yes,,756,East 14th Street,,"POLYGON ((-123.052265 49.320865, -123.052267 49.320965, -123.052077 49.320961, -123.052077 49.321005, -123.052002 49.321005, -123.052 49.320867, -123.052149 49.320869, -123.052149 49.320863, -123.052265 49.320865))","City of North Vancouver, British Columbia, Canada"
yes,,740,East 14th Street,,"POLYGON ((-123.052978 49.320883, -123.052979 49.321042, -123.052853 49.321042, -123.052853 49.320929, -123.052871 49.320928, -123.052874 49.320881, -123.052978 49.320883))","City of North Vancouver, British Columbia, Canada"
