landuse,name,geometry,city
grass,,"POLYGON ((-123.106337 49.24317, -123.106297 49.243164, -123.106258 49.243148, -123.106231 49.243126, -123.106216 49.243099, -123.106197 49.242973, -123.106156 49.242751, -123.106127 49.242602, -123.106141 49.242466, -123.106078 49.242279, -123.106443 49.242218, -123.106495 49.242167, -123.106716 49.242132, -123.106878 49.242161, -123.107065 49.242214, -123.107212 49.242275, -123.107321 49.242329, -123.107414 49.24239, -123.107486 49.242453, -123.107639 49.242859, -123.107566 49.242893, -123.10737 49.242925, -123.107354 49.242945, -123.106384 49.243165, -123.106337 49.24317), (-123.106856 49.243018, -123.106867 49.242993, -123.10687 49.242953, -123.106863 49.242912, -123.10685 49.242865, -123.106823 49.242826, -123.10679 49.242793, -123.106755 49.242765, -123.106696 49.242734, -123.106623 49.242707, -123.10655 49.242692, -123.106481 49.242686, -123.10641 49.242688, -123.106332 49.242702, -123.106268 49.242723, -123.1062 49.242759, -123.106232 49.242837, -123.10631 49.243059, -123.106295 49.243068, -123.106285 49.243082, -123.106285 49.243098, -123.106294 49.243112, -123.106312 49.243122, -123.106334 49.243125, -123.106358 49.243123, -123.106377 49.243114, -123.106387 49.243104, -123.106389 49.243093, -123.106856 49.243018))","Vancouver, British Columbia, Canada"
grass,,"POLYGON ((-123.106681 49.243, -123.106669 49.243005, -123.106659 49.243013, -123.106653 49.243025, -123.106651 49.243036, -123.106388 49.243074, -123.106373 49.243065, -123.106355 49.243058, -123.106334 49.243054, -123.106274 49.242882, -123.106287 49.242876, -123.106297 49.242868, -123.106302 49.242858, -123.106303 49.242849, -123.106569 49.242807, -123.106583 49.242819, -123.1066 49.242825, -123.106623 49.242828, -123.106681 49.243), (-123.106473 49.242977, -123.106485 49.242974, -123.106495 49.242969, -123.106502 49.242962, -123.106504 49.242954, -123.106503 49.242946, -123.106498 49.242939, -123.10649 49.242933, -123.10648 49.242929, -123.106468 49.242928, -123.106455 49.242929, -123.106444 49.242933, -123.106436 49.242938, -123.106431 49.242946, -123.106429 49.242954, -123.106432 49.242962, -123.106439 49.242969, -123.106449 49.242974, -123.106461 49.242977, -123.106473 49.242977))","Vancouver, British Columbia, Canada"
grass,Master Toa Wong Commemorative Boulevard,"MULTIPOLYGON (((-123.186216 49.25798, -123.186201 49.257971, -123.186189 49.257957, -123.186188 49.257941, -123.186194 49.25793, -123.186207 49.257921, -123.186219 49.257917, -123.186223 49.257915, -123.186298 49.257903, -123.186381 49.257899, -123.187684 49.257918, -123.187783 49.257922, -123.187902 49.257942, -123.187924 49.257947, -123.187939 49.257958, -123.187944 49.257974, -123.18794 49.257985, -123.187929 49.257995, -123.187914 49.258001, -123.18782 49.258029, -123.186367 49.258007, -123.186285 49.257998, -123.186216 49.25798)), ((-123.190688 49.257987, -123.1907 49.257989, -123.190714 49.258002, -123.190717 49.258018, -123.190711 49.258031, -123.190698 49.258041, -123.190687 49.258043, -123.190622 49.258066, -123.188299 49.258038, -123.188266 49.258034, -123.18813 49.258002, -123.188118 49.257996, -123.18811 49.257987, -123.188108 49.257977, -123.188115 49.257964, -123.188148 49.257944, -123.188226 49.257923, -123.190615 49.257957, -123.190678 49.257982, -123.190688 49.257987)), ((-123.190918 49.258051, -123.1909 49.258042, -123.19089 49.258028, -123.190891 49.258013, -123.190902 49.258, -123.19092 49.257991, -123.190943 49.257988, -123.190964 49.257992, -123.19098 49.258002, -123.190989 49.258015, -123.190989 49.258029, -123.190979 49.258042, -123.190962 49.258051, -123.190941 49.258054, -123.190918 49.258051)), ((-123.193468 49.258078, -123.193449 49.258088, -123.193424 49.258092, -123.193306 49.258111, -123.19138 49.258084, -123.191304 49.258081, -123.191185 49.258051, -123.191172 49.258045, -123.19116 49.258035, -123.191155 49.258023, -123.191158 49.258009, -123.191171 49.257997, -123.191186 49.257991, -123.19126 49.257969, -123.19335 49.257999, -123.193445 49.258022, -123.193465 49.258032, -123.193477 49.258046, -123.193478 49.258062, -123.193468 49.258078)), ((-123.193998 49.25809, -123.193946 49.258097, -123.193901 49.258101, -123.193856 49.258104, -123.193771 49.258104, -123.193733 49.258102, -123.193686 49.258097, -123.19366 49.258087, -123.19364 49.25808, -123.193629 49.258066, -123.19363 49.258044, -123.193641 49.258031, -123.193659 49.25802, -123.193685 49.258011, -123.193967 49.258019, -123.194 49.258033, -123.194021 49.258048, -123.194024 49.258068, -123.194014 49.258082, -123.193998 49.25809)), ((-123.196482 49.258128, -123.196459 49.258134, -123.196438 49.258138, -123.196412 49.258141, -123.194246 49.25811, -123.194217 49.25811, -123.194195 49.258102, -123.19418 49.25809, -123.194174 49.258074, -123.194178 49.25806, -123.194189 49.258048, -123.194206 49.258039, -123.194227 49.258035, -123.196458 49.258069, -123.196481 49.258075, -123.196497 49.258086, -123.196503 49.258101, -123.196497 49.258117, -123.196482 49.258128)), ((-123.196637 49.258093, -123.196647 49.258082, -123.196663 49.258076, -123.196688 49.258075, -123.197025 49.258079, -123.197023 49.25815, -123.196746 49.258147, -123.1967 49.258142, -123.196662 49.25813, -123.196648 49.258124, -123.196638 49.258115, -123.196634 49.258105, -123.196637 49.258093)), ((-123.200121 49.25815, -123.200124 49.258166, -123.200116 49.258181, -123.200097 49.258192, -123.200078 49.258195, -123.197266 49.258152, -123.197246 49.258148, -123.19723 49.25814, -123.19722 49.258128, -123.197217 49.258115, -123.197223 49.2581, -123.197238 49.258088, -123.197262 49.258082, -123.197286 49.258081, -123.200037 49.258125, -123.20008 49.258129, -123.200105 49.258136, -123.200121 49.25815)), ((-123.20026 49.258155, -123.200277 49.258142, -123.200301 49.258137, -123.200339 49.25813, -123.20308 49.258171, -123.203108 49.258176, -123.203128 49.258191, -123.203132 49.25821, -123.203124 49.258225, -123.203106 49.258236, -123.203082 49.25824, -123.2003 49.258199, -123.200279 49.258195, -123.200263 49.258185, -123.200256 49.258171, -123.20026 49.258155)), ((-123.20332 49.25819, -123.203336 49.25818, -123.203358 49.258174, -123.20613 49.258217, -123.206159 49.258222, -123.206183 49.258229, -123.206199 49.258242, -123.206203 49.258259, -123.206194 49.258275, -123.206175 49.258286, -123.20615 49.25829, -123.203358 49.258246, -123.203337 49.258241, -123.203321 49.258231, -123.203312 49.258218, -123.203312 49.258204, -123.20332 49.25819)), ((-123.209247 49.258307, -123.209236 49.258322, -123.209216 49.258332, -123.209192 49.258334, -123.206379 49.258296, -123.20636 49.25829, -123.206345 49.25828, -123.206336 49.258268, -123.206334 49.258254, -123.206341 49.25824, -123.206356 49.258228, -123.206377 49.258221, -123.209194 49.258266, -123.209217 49.258269, -123.209236 49.258278, -123.209247 49.258292, -123.209247 49.258307)), ((-123.2094 49.258274, -123.209424 49.258271, -123.212239 49.258312, -123.212264 49.258319, -123.212281 49.258334, -123.212285 49.258352, -123.212277 49.258365, -123.212262 49.258376, -123.212242 49.258381, -123.20942 49.258339, -123.209392 49.258333, -123.209373 49.258318, -123.209371 49.258298, -123.209381 49.258284, -123.2094 49.258274)), ((-123.212431 49.258325, -123.21245 49.258318, -123.212471 49.258317, -123.215257 49.258356, -123.215285 49.258364, -123.215303 49.258381, -123.215303 49.258402, -123.215293 49.258414, -123.215276 49.258423, -123.215255 49.258427, -123.212473 49.258384, -123.212446 49.258382, -123.212425 49.258371, -123.212415 49.258354, -123.212419 49.258337, -123.212431 49.258325)), ((-123.164466 49.257523, -123.164472 49.257521, -123.164805 49.257548, -123.164818 49.257551, -123.164851 49.257558, -123.164856 49.257561, -123.164858 49.257565, -123.164856 49.25757, -123.164814 49.257582, -123.164787 49.257588, -123.164745 49.257587, -123.164708 49.257582, -123.164471 49.25753, -123.164466 49.257526, -123.164466 49.257523)), ((-123.166418 49.257664, -123.166401 49.257682, -123.166376 49.257695, -123.166346 49.257701, -123.165394 49.257687, -123.165299 49.257683, -123.165163 49.257668, -123.165065 49.257645, -123.165045 49.257638, -123.165036 49.257633, -123.165024 49.257621, -123.165018 49.257608, -123.16502 49.257594, -123.165029 49.257579, -123.165046 49.257567, -123.165068 49.25756, -123.165104 49.257561, -123.166352 49.257582, -123.166382 49.25759, -123.166406 49.257604, -123.166421 49.257623, -123.166425 49.257644, -123.166418 49.257664)), ((-123.168257 49.25764, -123.168272 49.257649, -123.168276 49.257662, -123.168271 49.257672, -123.168258 49.25768, -123.168194 49.257689, -123.168066 49.257701, -123.167949 49.257704, -123.167798 49.2577, -123.167571 49.257699, -123.167372 49.257705, -123.167148 49.25771, -123.166993 49.257714, -123.166638 49.257708, -123.166602 49.257702, -123.166572 49.257687, -123.166554 49.257666, -123.166549 49.257642, -123.166557 49.257622, -123.166574 49.257604, -123.1666 49.257592, -123.16663 49.257585, -123.167798 49.257604, -123.167949 49.257609, -123.168071 49.257614, -123.168184 49.257624, -123.168257 49.25764)), ((-123.169113 49.257744, -123.168937 49.257738, -123.168661 49.257723, -123.168594 49.257709, -123.16858 49.257705, -123.168569 49.257698, -123.168566 49.257688, -123.168572 49.257674, -123.16859 49.257666, -123.168629 49.25766, -123.168726 49.257651, -123.168817 49.257645, -123.168928 49.257645, -123.169211 49.257648, -123.169305 49.257648, -123.169417 49.257645, -123.169516 49.257641, -123.169647 49.257638, -123.169766 49.257638, -123.170092 49.257643, -123.170232 49.257664, -123.170263 49.257668, -123.170287 49.257678, -123.1703 49.257695, -123.170302 49.257708, -123.170292 49.257724, -123.170278 49.257734, -123.170259 49.257742, -123.170234 49.257747, -123.170156 49.257747, -123.170034 49.257756, -123.169113 49.257744)), ((-123.170468 49.257706, -123.170456 49.257698, -123.170454 49.257686, -123.170458 49.257679, -123.170468 49.257673, -123.170484 49.257665, -123.170524 49.257662, -123.170761 49.257649, -123.171959 49.257666, -123.172089 49.257672, -123.172175 49.257692, -123.172197 49.257698, -123.172214 49.257709, -123.172224 49.257723, -123.172225 49.257739, -123.172214 49.257756, -123.172194 49.257769, -123.172167 49.257774, -123.172023 49.257788, -123.170812 49.257769, -123.170517 49.257737, -123.170493 49.257727, -123.170468 49.257706)), ((-123.172366 49.257712, -123.172386 49.257702, -123.17241 49.257697, -123.172518 49.257691, -123.174128 49.257698, -123.174183 49.257698, -123.174209 49.257705, -123.174222 49.257714, -123.174222 49.257734, -123.174185 49.257813, -123.174175 49.257818, -123.174165 49.257822, -123.174123 49.257821, -123.17342 49.257811, -123.173188 49.257804, -123.173079 49.25779, -123.172503 49.257784, -123.172404 49.257776, -123.172381 49.25777, -123.172363 49.257759, -123.172353 49.257743, -123.172355 49.257727, -123.172366 49.257712)), ((-123.176077 49.257793, -123.176062 49.257812, -123.176043 49.25782, -123.176021 49.257826, -123.175824 49.257847, -123.174772 49.257833, -123.174576 49.257813, -123.174468 49.257794, -123.174437 49.257783, -123.174412 49.257766, -123.174404 49.257753, -123.174405 49.257741, -123.174416 49.257732, -123.174451 49.257721, -123.174657 49.257708, -123.17477 49.25771, -123.175917 49.257727, -123.176024 49.257744, -123.176051 49.257753, -123.176072 49.257765, -123.176077 49.257776, -123.176077 49.257793)), ((-123.17793 49.257777, -123.177933 49.257781, -123.177931 49.257787, -123.177924 49.25779, -123.17748 49.257848, -123.177326 49.257861, -123.17719 49.257867, -123.177063 49.257869, -123.176556 49.257863, -123.17628 49.257838, -123.176241 49.257834, -123.176223 49.257826, -123.17621 49.257815, -123.176206 49.257801, -123.17621 49.257786, -123.176223 49.257774, -123.176243 49.257766, -123.176278 49.257756, -123.176448 49.257736, -123.177732 49.257757, -123.177923 49.257774, -123.17793 49.257777)), ((-123.17799 49.257821, -123.177987 49.257861, -123.177977 49.257866, -123.177713 49.257862, -123.177711 49.257853, -123.177981 49.257816, -123.17799 49.257821)), ((-123.181795 49.257873, -123.181782 49.257886, -123.181748 49.257903, -123.181716 49.257914, -123.181655 49.257921, -123.178235 49.257867, -123.178217 49.257866, -123.178202 49.257858, -123.178196 49.257847, -123.178194 49.257814, -123.178199 49.257802, -123.178212 49.257794, -123.17828 49.25778, -123.178354 49.25777, -123.178476 49.257765, -123.18173 49.257822, -123.181757 49.257823, -123.181787 49.257827, -123.181808 49.257837, -123.181809 49.257859, -123.181795 49.257873)), ((-123.183778 49.257861, -123.183888 49.257888, -123.183903 49.257895, -123.183912 49.257905, -123.183915 49.257917, -123.183907 49.257932, -123.183888 49.257943, -123.183791 49.257964, -123.183743 49.25797, -123.182436 49.257947, -123.182325 49.257943, -123.182235 49.25793, -123.182169 49.257918, -123.182154 49.257908, -123.182148 49.257895, -123.18215 49.257885, -123.182157 49.257877, -123.182168 49.25787, -123.182236 49.257854, -123.18231 49.257844, -123.182423 49.257834, -123.183685 49.257853, -123.183778 49.257861)), ((-123.184944 49.257949, -123.184093 49.257934, -123.184092 49.257928, -123.184139 49.25791, -123.184196 49.257905, -123.18497 49.257915, -123.185028 49.257916, -123.185037 49.257919, -123.185041 49.257925, -123.185038 49.257932, -123.185029 49.257936, -123.18499 49.257946, -123.184969 49.257948, -123.184944 49.257949)), ((-123.185249 49.257897, -123.185266 49.25789, -123.185304 49.257882, -123.185906 49.257891, -123.18598 49.257909, -123.186002 49.257916, -123.18602 49.25793, -123.186024 49.257947, -123.186018 49.257959, -123.186005 49.257969, -123.186001 49.257971, -123.185987 49.257975, -123.185874 49.257998, -123.185424 49.257993, -123.185362 49.257988, -123.185268 49.257966, -123.185245 49.257955, -123.185231 49.257939, -123.18523 49.257921, -123.185237 49.257908, -123.185249 49.257897)))","Vancouver, British Columbia, Canada"
grass,,"POLYGON ((-123.031756 49.278687, -123.031734 49.278818, -123.031714 49.278948, -123.031704 49.278958, -123.031685 49.278966, -123.031654 49.278971, -123.031648 49.278929, -123.031663 49.278525, -123.03146 49.278522, -123.031429 49.278974, -123.031391 49.278967, -123.031341 49.27892, -123.031348 49.278679, -123.03135 49.277544, -123.03176 49.277544, -123.031764 49.277548, -123.031777 49.277549, -123.031756 49.278687))","Vancouver, British Columbia, Canada"
cemetery,Mountain View Cemetery,"MULTIPOLYGON (((-123.097079 49.232878, -123.095615 49.232854, -123.095661 49.231163, -123.097152 49.231187, -123.097079 49.232878)), ((-123.097074 49.233108, -123.09697 49.235796, -123.096484 49.235788, -123.094068 49.235747, -123.094033 49.236669, -123.09401 49.237011, -123.090621 49.236953, -123.090691 49.234782, -123.090742 49.233072, -123.090804 49.233035, -123.091987 49.233051, -123.093512 49.233051, -123.097074 49.233108)), ((-123.090541 49.239705, -123.090541 49.23967, -123.090549 49.239386, -123.09055 49.239314, -123.090552 49.23927, -123.090553 49.239228, -123.090555 49.239143, -123.090556 49.239099, -123.090567 49.238696, -123.090587 49.238104, -123.090595 49.237796, -123.090613 49.237118, -123.094669 49.2372, -123.09468 49.237591, -123.094966 49.23759, -123.094881 49.239649, -123.096444 49.239674, -123.096471 49.239683, -123.096814 49.239687, -123.096787 49.24032, -123.09587 49.240305, -123.090646 49.240221, -123.090534 49.240115, -123.090541 49.239705)), ((-123.093215 49.242507, -123.090598 49.24248, -123.090549 49.242476, -123.090486 49.242443, -123.090469 49.242428, -123.09047 49.242368, -123.090516 49.240497, -123.090634 49.240411, -123.093065 49.240442, -123.093248 49.240445, -123.096786 49.240504, -123.096692 49.242608, -123.093214 49.242546, -123.093215 49.242507)))","Vancouver, British Columbia, Canada"
recreation_ground,,"POLYGON ((-123.199975 49.273447, -123.199975 49.273763, -123.199975 49.273784, -123.199947 49.274097, -123.199495 49.274084, -123.199501 49.273752, -123.199506 49.273442, -123.199975 49.273447), (-123.199558 49.273693, -123.199706 49.273696, -123.199716 49.273483, -123.199568 49.27348, -123.199558 49.273693), (-123.199769 49.273698, -123.199917 49.273701, -123.199927 49.273488, -123.199779 49.273485, -123.199769 49.273698), (-123.199548 49.274025, -123.199696 49.274028, -123.199706 49.273815, -123.199558 49.273812, -123.199548 49.274025), (-123.199749 49.274028, -123.199897 49.274031, -123.199907 49.273818, -123.199759 49.273815, -123.199749 49.274028))","Vancouver, British Columbia, Canada"
recreation_ground,,"POLYGON ((-123.156123 49.245859, -123.156286 49.245597, -123.156461 49.245316, -123.156474 49.245319, -123.157018 49.245463, -123.156844 49.245743, -123.15668 49.246007, -123.156123 49.245859), (-123.156343 49.24556, -123.156484 49.245596, -123.156603 49.245398, -123.156463 49.245362, -123.156343 49.24556), (-123.156641 49.245407, -123.156522 49.245605, -123.156662 49.245641, -123.156782 49.245443, -123.156641 49.245407), (-123.156824 49.245456, -123.156704 49.245653, -123.156845 49.245689, -123.156964 49.245492, -123.156824 49.245456), (-123.156174 49.245835, -123.156314 49.245871, -123.156434 49.245673, -123.156293 49.245637, -123.156174 49.245835), (-123.156477 49.245682, -123.156357 49.24588, -123.156498 49.245916, -123.156617 49.245718, -123.156477 49.245682), (-123.156655 49.245731, -123.156536 49.245929, -123.156676 49.245965, -123.156796 49.245767, -123.156655 49.245731))","Vancouver, British Columbia, Canada"
residential,Camosun Gates,"MULTIPOLYGON (((-123.196721 49.258624, -123.196732 49.258303, -123.197009 49.258307, -123.196998 49.258628, -123.196721 49.258624)), ((-123.197266 49.258629, -123.19728 49.258296, -123.197835 49.258306, -123.197821 49.258639, -123.197266 49.258629)))","Vancouver, British Columbia, Canada"
recreation_ground,,"POLYGON ((-123.204846 49.266614, -123.204855 49.266292, -123.205067 49.266295, -123.205685 49.266302, -123.205676 49.266628, -123.204846 49.266614), (-123.204895 49.266565, -123.205048 49.266568, -123.205056 49.266355, -123.204902 49.26635, -123.204895 49.266565), (-123.205093 49.266568, -123.205243 49.26657, -123.20525 49.266358, -123.205101 49.266357, -123.205093 49.266568), (-123.205289 49.266572, -123.205444 49.266574, -123.205448 49.266362, -123.205296 49.266358, -123.205289 49.266572), (-123.205485 49.266573, -123.205639 49.266576, -123.205648 49.266362, -123.205496 49.266359, -123.205485 49.266573))","Vancouver, British Columbia, Canada"
recreation_ground,,"POLYGON ((-123.137442 49.267381, -123.137074 49.267549, -123.13679 49.2673, -123.13678 49.267292, -123.137146 49.267116, -123.137442 49.267381), (-123.137346 49.267352, -123.137157 49.267186, -123.137037 49.267244, -123.137226 49.26741, -123.137346 49.267352), (-123.137189 49.267428, -123.137 49.267262, -123.13688 49.26732, -123.137069 49.267486, -123.137189 49.267428))","Vancouver, British Columbia, Canada"
